index,ref,context,premise,example,judgment,comment
0,arn-modal-evid1,epi-nec-1,na,arn-modal-1,felicitous,
1,arn-modal-evid2,epi-nec-2,na,arn-modal-2,felicitous,
2,arn-modal-evid3,epi-nec-3,na,arn-modal-3,felicitous,
3,arn-modal-evid4,epi-nec-4,na,arn-modal-4,felicitous,
4,arn-modal-evid5,epi-wn-1,na,arn-modal-5,felicitous,
5,arn-modal-evid6,epi-wn-2,na,arn-modal-6,felicitous,
6,arn-modal-evid7,epi-wn-3,na,arn-modal-7,felicitous,
7,arn-modal-evid7b,epi-wn-3,na,arn-modal-7b,felicitous,
8,arn-modal-evid8,epi-pos-1,na,arn-modal-8,felicitous,
9,arn-modal-evid9,epi-pos-2,na,arn-modal-9,felicitous,
10,arn-modal-evid10,epi-pos-3,na,arn-modal-10,felicitous,
11,arn-modal-evid11,epi-pos-4,na,arn-modal-11,felicitous,
12,arn-modal-evid12,epi-nnec-5,na,arn-modal-12,felicitous,
13,arn-modal-evid13,epi-imp-1,na,arn-modal-13,felicitous,
14,arn-modal-evid14,epi-imp-2,na,arn-modal-14,felicitous,
15,arn-modal-evid15,deo-nec-1,na,arn-modal-15,felicitous,
16,arn-modal-evid16,deo-nec-2,na,arn-modal-16,felicitous,
17,arn-modal-evid17,deo-wn-1,na,arn-modal-17,felicitous,
18,arn-modal-evid18,deo-wn-2,na,arn-modal-18,felicitous,
19,arn-modal-evid19,deo-wn-3,na,arn-modal-19,felicitous,
20,arn-modal-evid20,deo-pos-1,na,arn-modal-20,felicitous,
21,arn-modal-evid21,deo-pos-2,na,arn-modal-21,felicitous,
22,arn-modal-evid22,deo-pos-3,na,arn-modal-22,felicitous,
23,arn-modal-evid23,deo-pos-4,na,arn-modal-23,felicitous,
24,arn-modal-evid24,deo-pos-5,na,arn-modal-24,felicitous,
25,arn-modal-evid25,deo-nnec-1,na,arn-modal-25,felicitous,
26,arn-modal-evid26,deo-nnec-2,na,arn-modal-26,felicitous,
27,arn-modal-evid27,deo-imp-1,na,arn-modal-27,felicitous,
28,arn-modal-evid28,deo-imp-2,na,arn-modal-28,felicitous,
29,arn-modal-evid29,tel-nec-1,na,arn-modal-29,felicitous,
30,arn-modal-evid30,tel-nec-2,na,arn-modal-30,felicitous,
31,arn-modal-evid31,tel-nec-3,na,arn-modal-31,felicitous,
32,arn-modal-evid32,tel-wn-1,na,arn-modal-32,felicitous,
33,arn-modal-evid33,tel-wn-2,na,arn-modal-33,felicitous,
34,arn-modal-evid34,tel-wn-3,na,arn-modal-34,felicitous,
35,arn-modal-evid35,tel-pos-1,na,arn-modal-35,felicitous,
36,arn-modal-evid36,tel-pos-2,na,arn-modal-36,felicitous,
37,arn-modal-evid37,tel-pos-3,na,arn-modal-37,felicitous,
38,arn-modal-evid38,tel-nnec-1,na,arn-modal-38,felicitous,
39,arn-modal-evid39,tel-imp-1,na,arn-modal-39,felicitous,
40,arn-modal-evid40,tel-imp-2,na,arn-modal-40,felicitous,
